Imputation,Mechanism,Model,Metric,Fold,Value,SE,CI_Lower,CI_Upper
MICE (pooled),mcar,GradientBoosting,C-index (CV),2,0.65,0.13626654812221625,0.38291756568045615,0.9170824343195438
MICE (pooled),mcar,GradientBoosting,C-index (CV),3,0.5606481481481482,0.1653672338054335,0.2365283698894986,0.8847679264067978
MICE (pooled),mcar,GradientBoosting,C-index (CV),4,0.5160919540229886,0.17130389885516492,0.18033631226686536,0.8518475957791118
MICE (pooled),mcar,GradientBoosting,C-index (CV),5,0.560573476702509,0.13774217331309438,0.29059881700884405,0.830548136396174
MICE (pooled),mcar,GradientBoosting,C-index (CV),6,0.5228155339805824,0.15243414120541848,0.2240446172179622,0.8215864507432027
MICE (pooled),mcar,GradientBoosting,C-index (CV),7,0.5443548387096774,0.16694181459088367,0.21714888211154537,0.8715607953078094
MICE (pooled),mcar,GradientBoosting,C-index (CV),8,0.560989010989011,0.21232904927504093,0.14482407440993078,0.9771539475680913
MICE (pooled),mcar,GradientBoosting,C-index (CV),9,0.6659999999999999,0.13528734850926255,0.4008367969218453,0.9311632030781545
MICE (pooled),mcar,GradientBoosting,C-index (CV),10,0.4282926829268292,0.131710930393073,0.17013925935640611,0.6864461064972522
MICE (pooled),mcar,GradientBoosting,C-index (Test),Test,0.6767973856209151,0.12870051129297896,0.4245443834866763,0.9290503877551539
MICE (pooled),mcar,GradientBoosting,IBS (Test),Test,0.08436827739127961,0.040074191881681626,0.00582286130318363,0.1629136934793756
MICE (pooled),mcar,DeepSurv,C-index (CV),1,0.6013333333333334,0.14901006677402706,0.30927360245624036,0.8933930642104264
MICE (pooled),mcar,DeepSurv,C-index (CV),2,0.5007874015748032,0.16841008498279858,0.17070363500851798,0.8308711681410883
MICE (pooled),mcar,DeepSurv,C-index (CV),3,0.45555555555555555,0.20619894305070124,0.051405627176181135,0.85970548393493
MICE (pooled),mcar,DeepSurv,C-index (CV),4,0.6666666666666667,0.1129365182488885,0.44531109089884524,0.8880222424344882
MICE (pooled),mcar,DeepSurv,C-index (CV),5,0.6050179211469533,0.19340396842192487,0.22594614303998056,0.9840896992539261
MICE (pooled),mcar,DeepSurv,C-index (CV),6,0.6320388349514564,0.1075875353568549,0.4211672656520208,0.842910404250892
MICE (pooled),mcar,DeepSurv,C-index (CV),7,0.6298387096774193,0.14301050004020047,0.3495381295986264,0.9101392897562122
MICE (pooled),mcar,DeepSurv,C-index (CV),8,0.6527472527472528,0.14028538890180614,0.37778789049971273,0.9277066149947928
MICE (pooled),mcar,DeepSurv,C-index (CV),9,0.548,0.16398373903124258,0.22659187149876459,0.8694081285012355
MICE (pooled),mcar,DeepSurv,C-index (CV),10,0.6439024390243903,0.17988362951243653,0.2913305251800147,0.9964743528687658
MICE (pooled),mcar,DeepSurv,C-index (Test),Test,0.5431372549019609,0.1908787693820205,0.16901486691320067,0.917259642890721
MICE (pooled),full,RSF,C-index (CV),1,0.7688311688311689,0.1017058086487821,0.569487783879556,0.9681745537827817
MICE (pooled),full,RSF,C-index (CV),2,0.8455445544554456,0.10163355485567119,0.6463427869383301,1.0447463219725612
MICE (pooled),full,RSF,C-index (CV),3,0.9289940828402367,0.10020985647927799,0.7325827641408518,1.1254054015396215
MICE (pooled),full,RSF,C-index (CV),4,0.6042553191489362,0.10214982029070471,0.4040416713791549,0.8044689669187174
MICE (pooled),full,RSF,C-index (CV),5,0.7890909090909091,0.10278759290983687,0.5876272269876288,0.9905545911941893
MICE (pooled),full,RSF,C-index (CV),6,0.8287878787878789,0.10248294892779305,0.6279212988894045,1.0296544586863532
MICE (pooled),full,RSF,C-index (CV),7,0.8933333333333333,0.10010878436722222,0.6971201159735778,1.0895465506930888
MICE (pooled),full,RSF,C-index (CV),8,0.8957055214723926,0.10022557267656139,0.6992633990263323,1.092147643918453
MICE (pooled),full,RSF,C-index (CV),9,0.6640625,0.10072975913303873,0.4666321720992441,0.8614928279007559
MICE (pooled),full,RSF,C-index (CV),10,0.6904109589041096,0.11607517898254718,0.46290360809831715,0.9179183097099022
MICE (pooled),full,RSF,C-index (Test),Test,0.6710382513661202,0.10620370056882306,0.46287899825122697,0.8791975044810134
MICE (pooled),full,RSF,IBS (Test),Test,0.10650775803181542,0.03164786687796067,0.0444779389510125,0.16853757711261835
MICE (pooled),full,XGBoost,C-index (CV),1,0.7194805194805195,0.10665967397105022,0.5104275584972611,0.9285334804637779
MICE (pooled),full,XGBoost,C-index (CV),2,0.8277227722772278,0.10163355485567119,0.6285210047601123,1.0269245397943434
MICE (pooled),full,XGBoost,C-index (CV),3,0.9775147928994083,0.10046110559970205,0.7806110259239923,1.1744185598748245
MICE (pooled),full,XGBoost,C-index (CV),4,0.548936170212766,0.10386378934007595,0.3453631431062171,0.7525091973193149
MICE (pooled),full,XGBoost,C-index (CV),5,0.6836363636363636,0.12258914786209145,0.4433616338266644,0.9239110934460628
MICE (pooled),full,XGBoost,C-index (CV),6,0.7143939393939395,0.10374363135552926,0.5110564219371021,0.9177314568507768
MICE (pooled),full,XGBoost,C-index (CV),7,0.6647619047619047,0.12673825402779385,0.4163549268674287,0.9131688826563806
MICE (pooled),full,XGBoost,C-index (CV),8,0.8196319018404908,0.10882439555753684,0.6063360865477186,1.032927717133263
MICE (pooled),full,XGBoost,C-index (CV),9,0.678125,0.1052457132440557,0.4718434020416508,0.8844065979583491
MICE (pooled),full,XGBoost,C-index (CV),10,0.8150684931506849,0.10236461201243509,0.6144338536063121,1.0157031326950576
MICE (pooled),full,XGBoost,C-index (Test),Test,0.5617486338797815,0.1132255733381918,0.33982651013692555,0.7836707576226374
MICE (pooled),full,GradientBoosting,C-index (CV),1,0.7610389610389611,0.13323561382261812,0.4998971579466296,1.0221807641312926
MICE (pooled),full,GradientBoosting,C-index (CV),2,0.7999999999999999,0.11005252241735537,0.5842970560619833,1.0157029439380165
MICE (pooled),full,GradientBoosting,C-index (CV),3,0.9295857988165681,0.10079513021605,0.7320273435931102,1.127144254040026
MICE (pooled),full,GradientBoosting,C-index (CV),4,0.4829787234042553,0.10912425584682829,0.26909518194447185,0.6968622648640388
MICE (pooled),full,GradientBoosting,C-index (CV),5,0.6163636363636364,0.1111881734599295,0.3984348163821746,0.8342924563450983
MICE (pooled),full,GradientBoosting,C-index (CV),6,0.8306818181818182,0.10325704773203662,0.6282980046270265,1.03306563173661
MICE (pooled),full,GradientBoosting,C-index (CV),7,0.8276190476190475,0.10310815931344523,0.6255270553646948,1.0297110398734002
MICE (pooled),full,GradientBoosting,C-index (CV),8,0.7975460122699387,0.10886589067348958,0.5841688665498992,1.0109231579899782
